Food product,Total_emissions,Total Emissions per Tonne
Wheat & Rye (Bread),1.4000000000000004,1400.0000000000005
Maize (Meal),1.1,1100.0
Barley (Beer),1.1,1100.0
Oatmeal,1.6,1600.0
Rice,4.0,4000.0
Potatoes,0.30000000000000004,300.00000000000006
Cassava,0.9,900.0
Cane Sugar,2.6,2600.0
Beet Sugar,1.4,1400.0
Other Pulses,1.6,1600.0
Peas,0.7999999999999999,799.9999999999999
Nuts,0.2,200.0
Groundnuts,2.4,2400.0
Soymilk,1.0,1000.0
Tofu,3.0,3000.0
Soybean Oil,5.999999999999999,5999.999999999999
Palm Oil,7.6,7600.0
Sunflower Oil,3.5000000000000004,3500.0000000000005
Rapeseed Oil,3.7,3700.0
Olive Oil,6.0,6000.0
Tomatoes,1.4,1400.0
Onions & Leeks,0.30000000000000004,300.00000000000006
Root Vegetables,0.30000000000000004,300.00000000000006
Brassicas,0.4,400.0
Other Vegetables,0.5,500.0
Citrus Fruit,0.3,300.0
Bananas,0.7999999999999999,799.9999999999999
Apples,0.30000000000000004,300.00000000000006
Berries & Grapes,1.1,1100.0
Wine,1.4,1400.0
Other Fruit,0.7,700.0
Coffee,16.500000000000004,16500.000000000004
Dark Chocolate,18.7,18700.0
Beef (beef herd),59.6,59600.0
Beef (dairy herd),21.1,21100.0
Lamb & Mutton,24.5,24500.0
Pig Meat,7.2,7200.0
Poultry Meat,6.1000000000000005,6100.000000000001
Milk,2.8000000000000003,2800.0000000000005
Cheese,21.2,21200.0
Eggs,4.5,4500.0
Fish (farmed),5.1,5100.0
Shrimps (farmed),11.8,11800.0
