Area Abbreviation,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
AFG,9481000.0,9414000.0,9194000.0,10170000.0,10473000.0,10169000.0,11289000.0,11508000.0,11815000.0,10454000.0,10433000.0,11121000.0,11759000.0,12017000.0,12348000.0,13090000.0,11274000.0,12218000.0,12150000.0,11810000.0,11495000.0,11228000.0,11068000.0,10574000.0,9827000.0,9049000.0,9952000.0,9406000.0,9243000.0,9782000.0,9638000.0,9593000.0,10773000.0,11347000.0,12005000.0,12671000.0,13525000.0,14013000.0,14315000.0,13569000.0,13109000.0,15070000.0,16073000.0,16542000.0,17658000.0,18317000.0,19248000.0,19381000.0,20661000.0,21030000.0,21100000.0,22706000,23007000
ALB,1706000.0,1749000.0,1767000.0,1889000.0,1884000.0,1995000.0,2046000.0,2169000.0,2230000.0,2395000.0,2376000.0,2478000.0,2575000.0,2728000.0,2822000.0,3097000.0,3258000.0,3377000.0,3352000.0,3324000.0,3638000.0,3754000.0,4007000.0,3853000.0,3664000.0,3914000.0,3805000.0,3857000.0,4155000.0,4281000.0,4203000.0,4715000.0,5213000.0,6000000.0,6101000.0,6173000.0,5553000.0,5701000.0,5954000.0,6088000.0,6330000.0,6495000.0,6523000.0,6637000.0,6719000.0,6911000.0,6744000.0,7168000.0,7316000.0,7907000.0,8114000.0,8221000,8271000
DZA,7488000.0,7235000.0,6861000.0,7255000.0,7509000.0,7536000.0,7986000.0,8839000.0,9003000.0,9355000.0,9891000.0,10711000.0,11085000.0,12418000.0,14042000.0,14248000.0,15162000.0,16214000.0,17745000.0,19205000.0,20226000.0,21194000.0,22270000.0,23567000.0,26936000.0,27959000.0,28690000.0,28827000.0,32231000.0,30190000.0,31606000.0,32906000.0,34480000.0,33537000.0,34190000.0,33622000.0,33640000.0,36214000.0,37704000.0,37761000.0,39975000.0,42697000.0,45352000.0,48619000.0,49562000.0,51067000.0,49933000.0,50916000.0,57505000.0,60071000.0,65852000.0,69365000,72161000
AGO,4834000.0,4775000.0,5240000.0,5286000.0,5527000.0,5677000.0,5833000.0,5685000.0,6219000.0,6460000.0,6603000.0,6499000.0,6639000.0,6526000.0,6211000.0,6413000.0,6645000.0,6923000.0,6844000.0,6906000.0,7239000.0,7023000.0,7133000.0,7383000.0,8065000.0,7596000.0,7794000.0,7840000.0,8070000.0,8163000.0,8040000.0,8551000.0,8408000.0,9547000.0,10012000.0,10394000.0,10476000.0,11804000.0,11984000.0,14527000.0,17251000.0,20245000.0,21651000.0,25541000.0,26696000.0,28247000.0,29877000.0,32053000.0,36985000.0,38400000.0,40573000.0,38064000,48639000
ATG,92000.0,94000.0,105000.0,95000.0,84000.0,73000.0,64000.0,59000.0,68000.0,77000.0,85000.0,57000.0,58000.0,56000.0,59000.0,55000.0,53000.0,57000.0,61000.0,76000.0,77000.0,73000.0,72000.0,80000.0,77000.0,77000.0,77000.0,81000.0,81000.0,78000.0,77000.0,85000.0,86000.0,85000.0,81000.0,81000.0,83000.0,83000.0,90000.0,93000.0,89000.0,90000.0,89000.0,92000.0,115000.0,110000.0,122000.0,115000.0,114000.0,115000.0,118000.0,113000,119000
ARG,43402000.0,40784000.0,40219000.0,41638000.0,44936000.0,46738000.0,47437000.0,50357000.0,52029000.0,54203000.0,55052000.0,53140000.0,55081000.0,59138000.0,59427000.0,57433000.0,57760000.0,58279000.0,58742000.0,57391000.0,58638000.0,58745000.0,58657000.0,60027000.0,62227000.0,59853000.0,63582000.0,61832000.0,59495000.0,57052000.0,59530000.0,65111000.0,70104000.0,72069000.0,70464000.0,68941000.0,72803000.0,74857000.0,75150000.0,74711000.0,74099000.0,66353000.0,66563000.0,64558000.0,72316000.0,72146000.0,74148000.0,75939000.0,68422000.0,73042000.0,78764000.0,75946000,80843000
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4564000.0,4108000.0,4418000.0,4661000.0,4592000.0,4260000.0,4418000.0,4465000.0,4166000.0,4242000.0,4361000.0,4734000.0,5515000.0,5992000.0,6228000.0,6753000.0,6958000.0,6824000.0,5908000.0,6423000.0,6978000,7175000
AUS,25795000.0,27618000.0,28902000.0,29107000.0,28961000.0,30558000.0,30443000.0,31344000.0,32747000.0,33843000.0,34274000.0,32756000.0,32781000.0,31476000.0,32954000.0,32040000.0,31096000.0,33079000.0,33192000.0,32305000.0,33568000.0,33794000.0,35582000.0,36727000.0,36111000.0,37121000.0,38419000.0,41032000.0,42328000.0,43301000.0,41317000.0,45714000.0,44571000.0,42648000.0,50226000.0,50356000.0,50794000.0,50851000.0,51908000.0,51898000.0,54595000.0,53922000.0,59665000.0,58006000.0,63711000.0,62564000.0,62637000.0,64438000.0,59813000.0,64926000.0,61871000.0,61955000,62446000
AUT,22542000.0,22627000.0,23637000.0,24099000.0,22664000.0,23785000.0,23949000.0,25094000.0,24044000.0,24139000.0,24395000.0,23391000.0,23714000.0,23715000.0,23197000.0,24302000.0,23152000.0,24039000.0,24234000.0,24462000.0,24043000.0,24866000.0,23970000.0,24921000.0,24683000.0,24839000.0,24267000.0,24530000.0,24396000.0,24721000.0,24461000.0,24427000.0,24317000.0,24389000.0,23295000.0,22987000.0,24459000.0,23958000.0,23080000.0,23298000.0,23707000.0,23230000.0,23479000.0,24465000.0,24466000.0,24030000.0,24431000.0,25267000.0,24731000.0,24518000.0,25444000.0,24071000,24990000
AZE,138000.0,142000.0,152000.0,167000.0,173000.0,195000.0,204000.0,221000.0,239000.0,248000.0,254000.0,253000.0,256000.0,247000.0,245000.0,247000.0,234000.0,243000.0,254000.0,289000.0,276000.0,333000.0,326000.0,338000.0,354000.0,365000.0,385000.0,391000.0,392000.0,387000.0,363000.0,8985000.0,8591000.0,8466000.0,8581000.0,9014000.0,8285000.0,8860000.0,9873000.0,10628000.0,11937000.0,12622000.0,13496000.0,14083000.0,15525000.0,16279000.0,17273000.0,17505000.0,18151000.0,18258000.0,18904000.0,19833000,20791000
